Reference, Value, Footprint, Datasheet, MPN
"U1","ATTINY45-20SU","lib_fp:ATtiny45V-10XU-TSSOP-8","","ATTINY45-20XU"
"Y1","8Mhz","lib_fp:Resonator_SMD_muRata_CSTCE_G-3pin_3.0x0.7mm","","CSTNE8M00G55A000R0"
"R1","560","lib_fp:R_0805","","ERJ-6ENF5600V"
"R2","560","lib_fp:R_0805","","ERJ-6ENF5600V"
"R3","51","lib_fp:R_0805","","ERJ-6ENF51R0V"
"D1","LED","lib_fp:LED_0805","","IN-S85ATR"
"D2","IR_LED","kicad-libs:VSMB3940X01-GS08","","VSMB3940X01-GS08"
"CON1","AVR-ISP-6","lib_fp:Pin_Header_Straight_2x03_Pitch2.54mm",""
"C2","10uF","lib_fp:C_0805","","885012107004"
"Q1","Q_NPN_BEC","lib_fp:SOT-23","","SMMBT2222ALT3G"
"BT1","Battery_Cell","lib_fp:CR2032-THRU","","12BH003-GR"
"SW1","Button","lib_fp:e-switch-TL-3340-AF160QG","","TL3340AF160QG"
"R4","10k","lib_fp:R_0805","","ERJ-6ENF1002V"
